seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
2009-2010,"Missouri St",1283,2009-10,2009,2010,"Cuonzo Martin","Missouri State",1,36,24,12,0.6667,0,0,0,0
2010-2011,"Missouri St",1283,2010-11,2010,2011,"Cuonzo Martin","Missouri State",2,35,26,9,0.7429,0,0,1,0
2000-2001,"Missouri KC",1282,2000-01,2000,2001,"Dean Demopoukos","Missouri-Kansas City",0,30,14,16,0.4667,0,0,0,0
1997-1998,"Monmouth NJ",1284,1997-98,1997,1998,"Dave Calloway",Monmouth,0,13,3,10,0.2308,0,0,0,0
1998-1999,"Monmouth NJ",1284,1998-99,1998,1999,"Dave Calloway",Monmouth,1,26,5,21,0.1923,0,0,0,0
1999-1900,"Monmouth NJ",1284,1999-00,1999,1900,"Dave Calloway",Monmouth,2,28,12,16,0.4286,0,0,0,0
2000-2001,"Monmouth NJ",1284,2000-01,2000,2001,"Dave Calloway",Monmouth,3,31,21,10,0.6774,0,1,0,1
2001-2002,"Monmouth NJ",1284,2001-02,2001,2002,"Dave Calloway",Monmouth,4,30,18,12,0.6000,1,0,0,0
2002-2003,"Monmouth NJ",1284,2002-03,2002,2003,"Dave Calloway",Monmouth,5,28,15,13,0.5357,1,0,0,0
2003-2004,"Monmouth NJ",1284,2003-04,2003,2004,"Dave Calloway",Monmouth,6,33,21,12,0.6364,1,1,1,1
2004-2005,"Monmouth NJ",1284,2004-05,2004,2005,"Dave Calloway",Monmouth,7,29,16,13,0.5517,2,0,1,0
2005-2006,"Monmouth NJ",1284,2005-06,2005,2006,"Dave Calloway",Monmouth,8,34,19,15,0.5588,2,1,0,1
2006-2007,"Monmouth NJ",1284,2006-07,2006,2007,"Dave Calloway",Monmouth,9,30,12,18,0.4000,3,0,0,0
2007-2008,"Monmouth NJ",1284,2007-08,2007,2008,"Dave Calloway",Monmouth,10,31,7,24,0.2258,3,0,0,0
2008-2009,"Monmouth NJ",1284,2008-09,2008,2009,"Dave Calloway",Monmouth,11,31,8,23,0.2581,3,0,0,0
2009-2010,"Monmouth NJ",1284,2009-10,2009,2010,"Dave Calloway",Monmouth,12,31,12,19,0.3871,3,0,0,0
2010-2011,"Monmouth NJ",1284,2010-11,2010,2011,"Dave Calloway",Monmouth,13,30,9,21,0.3000,3,0,0,0
1998-1999,Montana,1285,1998-99,1998,1999,"Don Holst",Montana,0,27,13,14,0.4815,0,0,0,0
1999-1900,Montana,1285,1999-00,1999,1900,"Don Holst",Montana,1,28,17,11,0.6071,0,0,1,0
2000-2001,Montana,1285,2000-01,2000,2001,"Don Holst",Montana,2,27,11,16,0.4074,0,0,0,0
2001-2002,Montana,1285,2001-02,2001,2002,"Don Holst",Montana,3,31,16,15,0.5161,0,1,0,1
1991-1992,"Morehead St",1287,1991-92,1991,1992,"Dick Fick","Morehead State",0,29,14,15,0.4828,0,0,0,0
1992-1993,"Morehead St",1287,1992-93,1992,1993,"Dick Fick","Morehead State",1,27,6,21,0.2222,0,0,0,0
1993-1994,"Morehead St",1287,1993-94,1993,1994,"Dick Fick","Morehead State",2,28,14,14,0.5000,0,0,0,0
1994-1995,"Morehead St",1287,1994-95,1994,1995,"Dick Fick","Morehead State",3,27,15,12,0.5556,0,0,0,0
1995-1996,"Morehead St",1287,1995-96,1995,1996,"Dick Fick","Morehead State",4,27,7,20,0.2593,0,0,0,0
1996-1997,"Morehead St",1287,1996-97,1996,1997,"Dick Fick","Morehead State",5,27,8,19,0.2963,0,0,0,0
2006-2007,"Morehead St",1287,2006-07,2006,2007,"Donnie Tyndall","Morehead State",0,30,12,18,0.4000,0,0,0,0
2007-2008,"Morehead St",1287,2007-08,2007,2008,"Donnie Tyndall","Morehead State",1,30,15,15,0.5000,0,0,0,0
2008-2009,"Morehead St",1287,2008-09,2008,2009,"Donnie Tyndall","Morehead State",2,36,20,16,0.5556,0,1,0,1
2009-2010,"Morehead St",1287,2009-10,2009,2010,"Donnie Tyndall","Morehead State",3,35,24,11,0.6857,1,0,0,0
2010-2011,"Morehead St",1287,2010-11,2010,2011,"Donnie Tyndall","Morehead State",4,35,25,10,0.7143,1,1,0,1
2011-2012,"Morehead St",1287,2011-12,2011,2012,"Donnie Tyndall","Morehead State",5,33,18,15,0.5455,2,0,0,0
2005-2006,"Morgan St",1288,2005-06,2005,2006,"Butch Beard","Morgan State",15,30,4,26,0.1333,1,0,0,0
1995-1996,"Morgan St",1288,1995-96,1995,1996,"Chris Fuller","Morgan State",0,27,7,20,0.2593,0,0,0,0
1996-1997,"Morgan St",1288,1996-97,1996,1997,"Chris Fuller","Morgan State",1,27,9,18,0.3333,0,0,0,0
1997-1998,"Morgan St",1288,1997-98,1997,1998,"Chris Fuller","Morgan State",2,28,12,16,0.4286,0,0,0,0
1998-1999,"Morgan St",1288,1998-99,1998,1999,"Chris Fuller","Morgan State",3,28,14,14,0.5000,0,0,0,0
1999-1900,"Morgan St",1288,1999-00,1999,1900,"Chris Fuller","Morgan State",4,29,5,24,0.1724,0,0,0,0
2000-2001,"Morgan St",1288,2000-01,2000,2001,"Chris Fuller","Morgan State",5,29,6,23,0.2069,0,0,0,0
2001-2002,"Morris Brown",1289,2001-02,2001,2002,"Derek Thompson","Morris Brown",0,29,5,24,0.1724,0,0,0,0
2002-2003,"Morris Brown",1289,2002-03,2002,2003,"Derek Thompson","Morris Brown",1,28,8,20,0.2857,0,0,0,0
1991-1992,MTSU,1292,1991-92,1991,1992,"David Farrar","Middle Tennessee",0,27,16,11,0.5926,0,0,0,0
1992-1993,MTSU,1292,1992-93,1992,1993,"David Farrar","Middle Tennessee",1,26,10,16,0.3846,0,0,0,0
1993-1994,MTSU,1292,1993-94,1993,1994,"David Farrar","Middle Tennessee",2,27,8,19,0.2963,0,0,0,0
1994-1995,MTSU,1292,1994-95,1994,1995,"David Farrar","Middle Tennessee",3,27,12,15,0.4444,0,0,0,0
1995-1996,MTSU,1292,1995-96,1995,1996,"David Farrar","Middle Tennessee",4,27,15,12,0.5556,0,0,0,0
1958-1959,"Murray St",1293,1958-59,1958,1959,"Cal Luther","Murray State",0,25,10,15,0.4000,0,0,0,0
1959-1960,"Murray St",1293,1959-60,1959,1960,"Cal Luther","Murray State",1,23,12,11,0.5217,0,0,0,0
1960-1961,"Murray St",1293,1960-61,1960,1961,"Cal Luther","Murray State",2,23,13,10,0.5652,0,0,0,0
1961-1962,"Murray St",1293,1961-62,1961,1962,"Cal Luther","Murray State",3,25,13,12,0.5200,0,0,0,0
1962-1963,"Murray St",1293,1962-63,1962,1963,"Cal Luther","Murray State",4,22,13,9,0.5909,0,0,0,0
1963-1964,"Murray St",1293,1963-64,1963,1964,"Cal Luther","Murray State",5,25,16,9,0.6400,0,1,1,1
1964-1965,"Murray St",1293,1964-65,1964,1965,"Cal Luther","Murray State",6,26,19,7,0.7308,1,0,0,0
1965-1966,"Murray St",1293,1965-66,1965,1966,"Cal Luther","Murray State",7,25,13,12,0.5200,1,0,0,0
1966-1967,"Murray St",1293,1966-67,1966,1967,"Cal Luther","Murray State",8,23,14,9,0.6087,1,0,0,0
1967-1968,"Murray St",1293,1967-68,1967,1968,"Cal Luther","Murray State",9,24,16,8,0.6667,1,0,1,0
1968-1969,"Murray St",1293,1968-69,1968,1969,"Cal Luther","Murray State",10,28,22,6,0.7857,1,1,1,0
1969-1970,"Murray St",1293,1969-70,1969,1970,"Cal Luther","Murray State",11,26,17,9,0.6538,2,0,0,0
1970-1971,"Murray St",1293,1970-71,1970,1971,"Cal Luther","Murray State",12,24,19,5,0.7917,2,0,0,0
1971-1972,"Murray St",1293,1971-72,1971,1972,"Cal Luther","Murray State",13,26,15,11,0.5769,2,0,0,0
1972-1973,"Murray St",1293,1972-73,1972,1973,"Cal Luther","Murray State",14,25,17,8,0.6800,2,0,0,0
1973-1974,"Murray St",1293,1973-74,1973,1974,"Cal Luther","Murray State",15,25,12,13,0.4800,2,0,0,0
1992-1993,Navy,1298,1992-93,1992,1993,"Don DeVoe",Navy,21,27,8,19,0.2963,7,0,0,0
1993-1994,Navy,1298,1993-94,1993,1994,"Don DeVoe",Navy,22,30,17,13,0.5667,7,1,1,1
1994-1995,Navy,1298,1994-95,1994,1995,"Don DeVoe",Navy,23,29,20,9,0.6897,8,0,0,0
1995-1996,Navy,1298,1995-96,1995,1996,"Don DeVoe",Navy,24,27,15,12,0.5556,8,0,1,0
1996-1997,Navy,1298,1996-97,1996,1997,"Don DeVoe",Navy,25,29,20,9,0.6897,8,1,1,1
1997-1998,Navy,1298,1997-98,1997,1998,"Don DeVoe",Navy,26,30,19,11,0.6333,9,1,1,1
1998-1999,Navy,1298,1998-99,1998,1999,"Don DeVoe",Navy,27,27,20,7,0.7407,10,0,0,0
1999-1900,Navy,1298,1999-00,1999,1900,"Don DeVoe",Navy,28,29,23,6,0.7931,10,0,1,0
2000-2001,Navy,1298,2000-01,2000,2001,"Don DeVoe",Navy,29,31,19,12,0.6129,10,0,0,0
2001-2002,Navy,1298,2001-02,2001,2002,"Don DeVoe",Navy,30,30,10,20,0.3333,10,0,0,0
2002-2003,Navy,1298,2002-03,2002,2003,"Don DeVoe",Navy,31,28,8,20,0.2857,10,0,0,0
2003-2004,Navy,1298,2003-04,2003,2004,"Don DeVoe",Navy,32,28,5,23,0.1786,10,0,0,0
2012-2013,"N Kentucky",1297,2012-13,2012,2013,"Dave Bezold","Northern Kentucky",0,27,11,16,0.4074,0,0,0,0
2013-2014,"N Kentucky",1297,2013-14,2013,2014,"Dave Bezold","Northern Kentucky",1,30,9,21,0.3000,0,0,0,0
2014-2015,"N Kentucky",1297,2014-15,2014,2015,"Dave Bezold","Northern Kentucky",2,30,13,17,0.4333,0,0,0,0
1986-1987,Nebraska,1304,1986-87,1986,1987,"Danny Nee",Nebraska,6,33,21,12,0.6364,2,0,0,0
1987-1988,Nebraska,1304,1987-88,1987,1988,"Danny Nee",Nebraska,7,31,13,18,0.4194,2,0,0,0
1988-1989,Nebraska,1304,1988-89,1988,1989,"Danny Nee",Nebraska,8,33,17,16,0.5152,2,0,0,0
1989-1990,Nebraska,1304,1989-90,1989,1990,"Danny Nee",Nebraska,9,28,10,18,0.3571,2,0,0,0
1990-1991,Nebraska,1304,1990-91,1990,1991,"Danny Nee",Nebraska,10,34,26,8,0.7647,2,1,0,0
1991-1992,Nebraska,1304,1991-92,1991,1992,"Danny Nee",Nebraska,11,29,19,10,0.6552,3,1,0,0
1992-1993,Nebraska,1304,1992-93,1992,1993,"Danny Nee",Nebraska,12,31,20,11,0.6452,4,1,0,0
1993-1994,Nebraska,1304,1993-94,1993,1994,"Danny Nee",Nebraska,13,30,20,10,0.6667,5,1,0,1
1994-1995,Nebraska,1304,1994-95,1994,1995,"Danny Nee",Nebraska,14,32,18,14,0.5625,6,0,0,0
1995-1996,Nebraska,1304,1995-96,1995,1996,"Danny Nee",Nebraska,15,35,21,14,0.6000,6,0,0,0
1996-1997,Nebraska,1304,1996-97,1996,1997,"Danny Nee",Nebraska,16,33,18,15,0.5455,6,0,0,0
1997-1998,Nebraska,1304,1997-98,1997,1998,"Danny Nee",Nebraska,17,32,20,12,0.6250,6,1,0,0
1998-1999,Nebraska,1304,1998-99,1998,1999,"Danny Nee",Nebraska,18,33,20,13,0.6061,7,0,0,0
1999-1900,Nebraska,1304,1999-00,1999,1900,"Danny Nee",Nebraska,19,30,11,19,0.3667,7,0,0,0
2006-2007,Nebraska,1304,2006-07,2006,2007,"Doc Sadler",Nebraska,2,31,17,14,0.5484,1,0,0,0
2007-2008,Nebraska,1304,2007-08,2007,2008,"Doc Sadler",Nebraska,3,33,20,13,0.6061,1,0,0,0
2008-2009,Nebraska,1304,2008-09,2008,2009,"Doc Sadler",Nebraska,4,31,18,13,0.5806,1,0,0,0
2009-2010,Nebraska,1304,2009-10,2009,2010,"Doc Sadler",Nebraska,5,33,15,18,0.4545,1,0,0,0
2010-2011,Nebraska,1304,2010-11,2010,2011,"Doc Sadler",Nebraska,6,32,19,13,0.5938,1,0,0,0
2011-2012,Nebraska,1304,2011-12,2011,2012,"Doc Sadler",Nebraska,7,30,12,18,0.4000,1,0,0,0
2009-2010,Nevada,1305,2009-10,2009,2010,"David Carter",Nevada,0,34,21,13,0.6176,0,0,0,0
2010-2011,Nevada,1305,2010-11,2010,2011,"David Carter",Nevada,1,32,13,19,0.4063,0,0,0,0
2011-2012,Nevada,1305,2011-12,2011,2012,"David Carter",Nevada,2,35,28,7,0.8000,0,0,1,0
2012-2013,Nevada,1305,2012-13,2012,2013,"David Carter",Nevada,3,31,12,19,0.3871,0,0,0,0
2013-2014,Nevada,1305,2013-14,2013,2014,"David Carter",Nevada,4,32,15,17,0.4688,0,0,0,0
2014-2015,Nevada,1305,2014-15,2014,2015,"David Carter",Nevada,5,31,9,22,0.2903,0,0,0,0
1999-1900,"NC A&T",1299,1999-00,1999,1900,"Curtis Hunter","North Carolina A&T",0,29,14,15,0.4828,0,0,0,0
2000-2001,"NC A&T",1299,2000-01,2000,2001,"Curtis Hunter","North Carolina A&T",1,30,13,17,0.4333,0,0,0,0
2001-2002,"NC A&T",1299,2001-02,2001,2002,"Curtis Hunter","North Carolina A&T",2,28,11,17,0.3929,0,0,0,0
2002-2003,"NC A&T",1299,2002-03,2002,2003,"Curtis Hunter","North Carolina A&T",3,27,1,26,0.0370,0,0,0,0
2012-2013,"NC A&T",1299,2012-13,2012,2013,"Cy Alexander","North Carolina A&T",25,37,20,17,0.5405,5,1,0,1
2013-2014,"NC A&T",1299,2013-14,2013,2014,"Cy Alexander","North Carolina A&T",26,32,9,23,0.2813,6,0,0,0
2014-2015,"NC A&T",1299,2014-15,2014,2015,"Cy Alexander","North Carolina A&T",27,32,9,23,0.2813,6,0,0,0
2015-2016,"NC A&T",1299,2015-16,2015,2016,"Cy Alexander","North Carolina A&T",28,22,5,17,0.2273,6,0,0,0
1979-1980,"NC A&T",1299,1979-80,1979,1980,"Don Corbett","North Carolina A&T",0,27,8,19,0.2963,0,0,0,0
1980-1981,"NC A&T",1299,1980-81,1980,1981,"Don Corbett","North Carolina A&T",1,29,21,8,0.7241,0,0,1,0
1981-1982,"NC A&T",1299,1981-82,1981,1982,"Don Corbett","North Carolina A&T",2,28,19,9,0.6786,0,1,1,1
1982-1983,"NC A&T",1299,1982-83,1982,1983,"Don Corbett","North Carolina A&T",3,31,23,8,0.7419,1,1,0,1
1983-1984,"NC A&T",1299,1983-84,1983,1984,"Don Corbett","North Carolina A&T",4,29,22,7,0.7586,2,1,1,1
1984-1985,"NC A&T",1299,1984-85,1984,1985,"Don Corbett","North Carolina A&T",5,29,19,10,0.6552,3,1,1,1
1985-1986,"NC A&T",1299,1985-86,1985,1986,"Don Corbett","North Carolina A&T",6,30,22,8,0.7333,4,1,1,1
1986-1987,"NC A&T",1299,1986-87,1986,1987,"Don Corbett","North Carolina A&T",7,30,24,6,0.8000,5,1,0,1
1987-1988,"NC A&T",1299,1987-88,1987,1988,"Don Corbett","North Carolina A&T",8,29,26,3,0.8966,6,1,1,1
1988-1989,"NC A&T",1299,1988-89,1988,1989,"Don Corbett","North Carolina A&T",9,27,9,18,0.3333,7,0,0,0
1989-1990,"NC A&T",1299,1989-90,1989,1990,"Don Corbett","North Carolina A&T",10,29,12,17,0.4138,7,0,0,0
1990-1991,"NC A&T",1299,1990-91,1990,1991,"Don Corbett","North Carolina A&T",11,27,17,10,0.6296,7,0,0,0
1991-1992,"NC A&T",1299,1991-92,1991,1992,"Don Corbett","North Carolina A&T",12,27,18,9,0.6667,7,0,1,0
1992-1993,"NC A&T",1299,1992-93,1992,1993,"Don Corbett","North Carolina A&T",13,27,14,13,0.5185,7,0,0,0
1979-1980,"New Mexico",1307,1979-80,1979,1980,"Charlie Harrison","New Mexico",0,28,7,21,0.2500,0,0,0,0
2013-2014,"New Mexico",1307,2013-14,2013,2014,"Craig Neal","New Mexico",0,34,27,7,0.7941,0,1,0,1
2014-2015,"New Mexico",1307,2014-15,2014,2015,"Craig Neal","New Mexico",1,31,15,16,0.4839,1,0,0,0
2015-2016,"New Mexico",1307,2015-16,2015,2016,"Craig Neal","New Mexico",2,27,16,11,0.5926,1,0,0,0
1988-1989,"New Mexico",1307,1988-89,1988,1989,"Dave Bliss","New Mexico",13,33,22,11,0.6667,4,0,0,0
1989-1990,"New Mexico",1307,1989-90,1989,1990,"Dave Bliss","New Mexico",14,34,20,14,0.5882,4,0,0,0
1990-1991,"New Mexico",1307,1990-91,1990,1991,"Dave Bliss","New Mexico",15,30,20,10,0.6667,4,1,0,0
1991-1992,"New Mexico",1307,1991-92,1991,1992,"Dave Bliss","New Mexico",16,33,20,13,0.6061,5,0,0,0
1992-1993,"New Mexico",1307,1992-93,1992,1993,"Dave Bliss","New Mexico",17,31,24,7,0.7742,5,1,0,1
1993-1994,"New Mexico",1307,1993-94,1993,1994,"Dave Bliss","New Mexico",18,31,23,8,0.7419,6,1,1,0
1994-1995,"New Mexico",1307,1994-95,1994,1995,"Dave Bliss","New Mexico",19,30,15,15,0.5000,7,0,0,0
1995-1996,"New Mexico",1307,1995-96,1995,1996,"Dave Bliss","New Mexico",20,33,28,5,0.8485,7,1,0,1
1996-1997,"New Mexico",1307,1996-97,1996,1997,"Dave Bliss","New Mexico",21,33,25,8,0.7576,8,1,0,0
1997-1998,"New Mexico",1307,1997-98,1997,1998,"Dave Bliss","New Mexico",22,32,24,8,0.7500,9,1,0,0
1998-1999,"New Mexico",1307,1998-99,1998,1999,"Dave Bliss","New Mexico",23,34,25,9,0.7353,10,1,0,0
1977-1978,"New Orleans",1309,1977-78,1977,1978,"Butch van Breda Kolff","New Orleans",26,27,21,6,0.7778,4,0,0,1
1978-1979,"New Orleans",1309,1978-79,1978,1979,"Butch van Breda Kolff","New Orleans",27,27,11,16,0.4074,4,0,0,0
2006-2007,"New Orleans",1309,2006-07,2006,2007,"Buzz Williams","New Orleans",0,31,14,17,0.4516,0,0,0,0
1979-1980,"New Orleans",1309,1979-80,1979,1980,"Don Smith","New Orleans",0,26,5,21,0.1923,0,0,0,0
1980-1981,"New Orleans",1309,1980-81,1980,1981,"Don Smith","New Orleans",1,27,13,14,0.4815,0,0,0,0
1981-1982,"New Orleans",1309,1981-82,1981,1982,"Don Smith","New Orleans",2,26,18,8,0.6923,0,0,0,0
1982-1983,"New Orleans",1309,1982-83,1982,1983,"Don Smith","New Orleans",3,30,23,7,0.7667,0,0,0,0
1983-1984,"New Orleans",1309,1983-84,1983,1984,"Don Smith","New Orleans",4,28,14,14,0.5000,0,0,0,0
1984-1985,"New Orleans",1309,1984-85,1984,1985,"Don Smith","New Orleans",5,30,11,19,0.3667,0,0,0,0
2013-2014,Niagara,1310,2013-14,2013,2014,"Chris Casey",Niagara,0,33,7,26,0.2121,0,0,0,0
2014-2015,Niagara,1310,2014-15,2014,2015,"Chris Casey",Niagara,1,30,8,22,0.2667,0,0,0,0
2015-2016,Niagara,1310,2015-16,2015,2016,"Chris Casey",Niagara,2,29,7,22,0.2414,0,0,0,0
1976-1977,Niagara,1310,1976-77,1976,1977,"Dan Raskin",Niagara,0,26,13,13,0.5000,0,0,0,0
1977-1978,Niagara,1310,1977-78,1977,1978,"Dan Raskin",Niagara,1,26,14,12,0.5385,0,0,0,0
1978-1979,Niagara,1310,1978-79,1978,1979,"Dan Raskin",Niagara,2,26,6,20,0.2308,0,0,0,0
1979-1980,Niagara,1310,1979-80,1979,1980,"Dan Raskin",Niagara,3,27,11,16,0.4074,0,0,0,0
1961-1962,"North Carolina",1314,1961-62,1961,1962,"Dean Smith","North Carolina",0,17,8,9,0.4706,0,0,0,0
1962-1963,"North Carolina",1314,1962-63,1962,1963,"Dean Smith","North Carolina",1,21,15,6,0.7143,0,0,0,0
1963-1964,"North Carolina",1314,1963-64,1963,1964,"Dean Smith","North Carolina",2,24,12,12,0.5000,0,0,0,0
1964-1965,"North Carolina",1314,1964-65,1964,1965,"Dean Smith","North Carolina",3,24,15,9,0.6250,0,0,0,0
1965-1966,"North Carolina",1314,1965-66,1965,1966,"Dean Smith","North Carolina",4,27,16,11,0.5926,0,0,0,0
1966-1967,"North Carolina",1314,1966-67,1966,1967,"Dean Smith","North Carolina",5,32,26,6,0.8125,0,1,1,1
1967-1968,"North Carolina",1314,1967-68,1967,1968,"Dean Smith","North Carolina",6,32,28,4,0.8750,1,1,1,1
1968-1969,"North Carolina",1314,1968-69,1968,1969,"Dean Smith","North Carolina",7,32,27,5,0.8438,2,1,1,1
1969-1970,"North Carolina",1314,1969-70,1969,1970,"Dean Smith","North Carolina",8,27,18,9,0.6667,3,0,0,0
1970-1971,"North Carolina",1314,1970-71,1970,1971,"Dean Smith","North Carolina",9,32,26,6,0.8125,3,0,1,0
1971-1972,"North Carolina",1314,1971-72,1971,1972,"Dean Smith","North Carolina",10,31,26,5,0.8387,3,1,1,1
1972-1973,"North Carolina",1314,1972-73,1972,1973,"Dean Smith","North Carolina",11,33,25,8,0.7576,4,0,0,0
1973-1974,"North Carolina",1314,1973-74,1973,1974,"Dean Smith","North Carolina",12,28,22,6,0.7857,4,0,0,0
1974-1975,"North Carolina",1314,1974-75,1974,1975,"Dean Smith","North Carolina",13,31,23,8,0.7419,4,1,0,1
1975-1976,"North Carolina",1314,1975-76,1975,1976,"Dean Smith","North Carolina",14,29,25,4,0.8621,5,1,1,0
1976-1977,"North Carolina",1314,1976-77,1976,1977,"Dean Smith","North Carolina",15,33,28,5,0.8485,6,1,1,1
1977-1978,"North Carolina",1314,1977-78,1977,1978,"Dean Smith","North Carolina",16,31,23,8,0.7419,7,1,1,0
1978-1979,"North Carolina",1314,1978-79,1978,1979,"Dean Smith","North Carolina",17,29,23,6,0.7931,8,1,1,1
1979-1980,"North Carolina",1314,1979-80,1979,1980,"Dean Smith","North Carolina",18,29,21,8,0.7241,9,1,0,0
1980-1981,"North Carolina",1314,1980-81,1980,1981,"Dean Smith","North Carolina",19,37,29,8,0.7838,10,1,0,1
1981-1982,"North Carolina",1314,1981-82,1981,1982,"Dean Smith","North Carolina",20,34,32,2,0.9412,11,1,1,1
1982-1983,"North Carolina",1314,1982-83,1982,1983,"Dean Smith","North Carolina",21,36,28,8,0.7778,12,1,1,0
1983-1984,"North Carolina",1314,1983-84,1983,1984,"Dean Smith","North Carolina",22,31,28,3,0.9032,13,1,1,0
1984-1985,"North Carolina",1314,1984-85,1984,1985,"Dean Smith","North Carolina",23,36,27,9,0.7500,14,1,1,0
1985-1986,"North Carolina",1314,1985-86,1985,1986,"Dean Smith","North Carolina",24,34,28,6,0.8235,15,1,0,0
1986-1987,"North Carolina",1314,1986-87,1986,1987,"Dean Smith","North Carolina",25,36,32,4,0.8889,16,1,1,0
1987-1988,"North Carolina",1314,1987-88,1987,1988,"Dean Smith","North Carolina",26,34,27,7,0.7941,17,1,1,0
1988-1989,"North Carolina",1314,1988-89,1988,1989,"Dean Smith","North Carolina",27,37,29,8,0.7838,18,1,0,1
1989-1990,"North Carolina",1314,1989-90,1989,1990,"Dean Smith","North Carolina",28,34,21,13,0.6176,19,1,0,0
1990-1991,"North Carolina",1314,1990-91,1990,1991,"Dean Smith","North Carolina",29,35,29,6,0.8286,20,1,0,1
1991-1992,"North Carolina",1314,1991-92,1991,1992,"Dean Smith","North Carolina",30,33,23,10,0.6970,21,1,0,0
1992-1993,"North Carolina",1314,1992-93,1992,1993,"Dean Smith","North Carolina",31,38,34,4,0.8947,22,1,1,0
1993-1994,"North Carolina",1314,1993-94,1993,1994,"Dean Smith","North Carolina",32,35,28,7,0.8000,23,1,0,1
1994-1995,"North Carolina",1314,1994-95,1994,1995,"Dean Smith","North Carolina",33,34,28,6,0.8235,24,1,1,0
1995-1996,"North Carolina",1314,1995-96,1995,1996,"Dean Smith","North Carolina",34,32,21,11,0.6563,25,1,0,0
1996-1997,"North Carolina",1314,1996-97,1996,1997,"Dean Smith","North Carolina",35,35,28,7,0.8000,26,1,0,1
1994-1995,Northeastern,1318,1994-95,1994,1995,"Dave Leitao",Northeastern,0,29,18,11,0.6207,0,0,0,0
1995-1996,Northeastern,1318,1995-96,1995,1996,"Dave Leitao",Northeastern,1,28,4,24,0.1429,0,0,0,0
2011-2012,"Northern Arizona",1319,2011-12,2011,2012,"Dave Brown","Northern Arizona",0,20,3,17,0.1500,0,0,0,0
2013-2014,Northwestern,1321,2013-14,2013,2014,"Chris Collins",Northwestern,0,33,14,19,0.4242,0,0,0,0
2014-2015,Northwestern,1321,2014-15,2014,2015,"Chris Collins",Northwestern,1,32,15,17,0.4688,0,0,0,0
2015-2016,Northwestern,1321,2015-16,2015,2016,"Chris Collins",Northwestern,2,27,17,10,0.6296,0,0,0,0
1988-1989,"Northwestern LA",1322,1988-89,1988,1989,"Dan Bell","Northwestern State",0,29,13,16,0.4483,0,0,0,0
1989-1990,"Northwestern LA",1322,1989-90,1989,1990,"Dan Bell","Northwestern State",1,29,10,19,0.3448,0,0,0,0
1990-1991,"Northwestern LA",1322,1990-91,1990,1991,"Dan Bell","Northwestern State",2,28,6,22,0.2143,0,0,0,0
1991-1992,"Northwestern LA",1322,1991-92,1991,1992,"Dan Bell","Northwestern State",3,28,15,13,0.5357,0,0,0,0
1992-1993,"Northwestern LA",1322,1992-93,1992,1993,"Dan Bell","Northwestern State",4,26,13,13,0.5000,0,0,0,0
1993-1994,"Northwestern LA",1322,1993-94,1993,1994,"Dan Bell","Northwestern State",5,26,11,15,0.4231,0,0,0,0
1985-1986,"Northwestern LA",1322,1985-86,1985,1986,"Don Beasley","Northwestern State",10,27,11,16,0.4074,0,0,0,0
1986-1987,"Northwestern LA",1322,1986-87,1986,1987,"Don Beasley","Northwestern State",11,28,15,13,0.5357,0,0,0,0
1987-1988,"Northwestern LA",1322,1987-88,1987,1988,"Don Beasley","Northwestern State",12,28,16,12,0.5714,0,0,0,0
1971-1972,"Notre Dame",1323,1971-72,1971,1972,"Digger Phelps","Notre Dame",1,26,6,20,0.2308,1,0,0,0
1972-1973,"Notre Dame",1323,1972-73,1972,1973,"Digger Phelps","Notre Dame",2,30,18,12,0.6000,1,0,0,0
1973-1974,"Notre Dame",1323,1973-74,1973,1974,"Digger Phelps","Notre Dame",3,29,26,3,0.8966,1,1,0,0
1974-1975,"Notre Dame",1323,1974-75,1974,1975,"Digger Phelps","Notre Dame",4,29,19,10,0.6552,2,1,0,0
1975-1976,"Notre Dame",1323,1975-76,1975,1976,"Digger Phelps","Notre Dame",5,29,23,6,0.7931,3,1,0,0
1976-1977,"Notre Dame",1323,1976-77,1976,1977,"Digger Phelps","Notre Dame",6,29,22,7,0.7586,4,1,0,0
1977-1978,"Notre Dame",1323,1977-78,1977,1978,"Digger Phelps","Notre Dame",7,31,23,8,0.7419,5,1,0,0
1978-1979,"Notre Dame",1323,1978-79,1978,1979,"Digger Phelps","Notre Dame",8,30,24,6,0.8000,6,1,0,0
1979-1980,"Notre Dame",1323,1979-80,1979,1980,"Digger Phelps","Notre Dame",9,28,22,6,0.7857,7,1,0,0
1980-1981,"Notre Dame",1323,1980-81,1980,1981,"Digger Phelps","Notre Dame",10,29,23,6,0.7931,8,1,0,0
1981-1982,"Notre Dame",1323,1981-82,1981,1982,"Digger Phelps","Notre Dame",11,27,10,17,0.3704,9,0,0,0
1982-1983,"Notre Dame",1323,1982-83,1982,1983,"Digger Phelps","Notre Dame",12,29,19,10,0.6552,9,0,0,0
1983-1984,"Notre Dame",1323,1983-84,1983,1984,"Digger Phelps","Notre Dame",13,33,21,12,0.6364,9,0,0,0
1984-1985,"Notre Dame",1323,1984-85,1984,1985,"Digger Phelps","Notre Dame",14,30,21,9,0.7000,9,1,0,0
